production_companies_id,production_companies_name
44165,R.P.A. Cinematografica
24012,Indomitable Entertainment
55381,DaZu Film
71551,Field of Vision
88161,Cinerama Releasing Corporation
22099,Daniel Ostroff Productions
10921,Sumitomo Corporation
18078,Fantastic Films
23698,Hedayat Film
32853,Gkids
6873,vision one pictures
39456,Greenway Productions
45665,Dune Vision
15132,Dudez Productions
68152,Kamisha Corporation
77962,MyGroup Lebanon
21756,Fries Entertainment
33842,Hit Woman Productions Inc.
11611,Mediapool
68915,Suburban Tempe Company
13085,Altar Productions
21085,"Ministry of Film, The"
12051,VMP
2468,Domino Film
14538,Mulberry Square Productions
1533,Indigo Film
21645,WonderWorks
51180,Panaria Film
10896,Exponential Films
76810,China International Entertainment Limited
54950,Pastel
1167,Phalanx Productions
63745,Produccions A Modiño
62343,Crimes of the Heart S.A
11832,Blue Cinema
1382,PolyGram Filmed Entertainment
75675,Consejo Nacional de la Cultura y las Artes
21466,Simar Films
19479,KOH
43934,"In-Gear Film Production Co., Ltd."
38573,Barbara Moorse Workshop
19991,Mypheduh Films
6838,Stellar Mega Films
65503,Agrupación de Cine 001 AIE
20091,RAI Radiotelevisione Italiana
4495,REF Productions
7966,Outland Productions
23871,parma films
72704,Silverapples Media
48591,Joseph Bernhard Productions Inc.
20409,Les Editions Albert René
38418,Mely Productions
73823,Polsat (współpraca produkcyjna)
20056,Jerry Thorpe Productions
3516,Mighty Cheese Productions
4233,Lightning Pictures
21404,ZDF
44548,St. Petersburg Documentary Film Studio
85047,Zhejiang Huace Film & TV
40432,Eton
61703,Documentary & Experimental Film Center
3933,Giraffe Productions
30591,Xanthus Pictures
24511,The Way We Roll Productions
62133,Producciones Benito Perojo S.A.
1669,Les Productions Belles Rives
12005,Yucaipa Films
25023,Sofinergie 2
79962,Papaya Films
6530,Lifetime Television
42186,Zora Investments Associates
8403,Bandito Brothers
4732,Red Envelope Entertainment
21290,Fawcett-Majors Productions
18939,Hat Trick Productions
59651,Sonset Friday Entertainment
39125,Lopert Pictures Corporation
63104,Blue Forest Media
25561,Green Valley Entertainment
89488,Huayi Tencent Entertainment Company
560,Film Colony
39050,WW & S Productions Inc.
49934,Kazak Productions
69844,Chinagraph
27501,Imperial Fish Company
4417,Children of the Corn Productions
17377,ATM Grupa S.A.
29063,Piraya Film A/S
92066,Elis Cinematografica
2337,Cinecidi
6761,Yerba Buena Productions Inc.
8833,Anvil Films
4316,Avalon Television Ltd
13580,Sydney Box Productions
46903,East-West Film Partners
23938,Burke/Samples/Foster Productions
8302,Fleischer Studios
2919,Cass Films
2848,Hoyts Film Partnership
44142,International Cinemedia Center
21461,Cinema Two
51691,Serious Dan
18928,Front Row Productions
14405,MJJ Productions
54860,Argonaut Pictures
262,Independent Film Distributors
2870,Identity Films
19076,Films du Cyclope
1815,El Mar Pictures
9030,Next Station Productions
39291,Consolidated Productions
3848,Chimichanga Productions
78696,Dull Boy Pictures
33267,ECM Records
14097,Clemente Lococo
2650,Ealing Studios
2396,Finnish Film Foundation
90465,Pangea Productions
58399,Pantelion Films
8813,Videocraft International
90400,Mrs. Brisby Ltd.
38555,Cinema 7
23140,Movie Masters
30702,Multicom entertainment
982,Road Movies Dritte Produktionen
4037,Magic Head Film Production
23406,Heimatfilm
16956,Green Lions
16290,Arte Mecánica
1685,Hofflund/Polone
16418,"Instituto do Cinema, Audiovisual e Multimédia (ICAM)"
2310,Screen West Midlands
12265,Bristol Films
47933,Aryasaa Cine Productions
38507,Stun Creative
34314,SUMS* Film and Media
55239,Transatlantic Films
182,JVC Entertainment
10784,Cerito Films
1548,Franz Seitz Filmproduktion
75140,U-Production
31470,RGB Media
7866,Productores Exhibidores Films Sociedad Anónima (PEFSA)
9258,Prerna Films
68548,Dunulf Productions
54731,Délia Film
73783,Cocinex
23027,Tudor Productions
40243,Angry Mob
13996,Morgana Films
89164,Pikachu Project 2001
41651,Ralf Westhoff Filmproduktion
19600,Sunchaser Entertainment
37429,Cinex Films
10219,Goat Man's Hill
38672,Vega Film Productions
23478,Captain Movies
24077,Pendle View (WM) Limited
25475,Searock Films
22788,Vega Film GmbH
5902,RKO
89144,Marquis
93041,Chaconna Films
19799,Artes Productions
23094,The Cropsy Venture
6548,Paramount Home Entertainment
4364,Watermark
14104,First Films
14464,Sri Venkateswara Creations
22223,Studio Légende
10012,Nadie es Perfecto
65399,Esencia Films
2655,Internationale Filmproduktion Richter
10772,Camellia Entertainment
386,Paris Films Productions
75403,Saxonia Entertainment
17444,Luminant Media
56499,Itsy Bitsy Film
52305,Oracle Film Group
40578,Georges Reinhart Productions
3054,Golden Way Films Ltd.
10202,Columbia TriStar Home Entertainment
78304,Dorothea G. Petrie Productions
2088,NALA Films
2053,Grosvenor Park Media Ltd.
23260,Aurel Films
8385,Hokkaido Shinbun Press
10272,Starhaus Filmproduktion
78240,Giai Phong Film Studio
7418,KOF Film Productions
8172,Atlantic Productions
27127,M & R Films
877,Casey Silver Productions
19159,Vito Films
40425,Ocelot Films Inc.
49393,Cinesthesia Productions
56820,American National Films
8822,Green Light Media
25992,ABC News
3398,FNM Films
87879,lake city productions
73686,Antibes Inc.
1582,Titan Productions
4395,Monogram Pictures
2592,Albatros Produktion
74682,"Kinokompaniya ""Tsar"""
78706,Storm Films (koprodukcja)
72132,Big Mouth Productions
16616,Willis Kent Productions
20039,Screen Entertainment Co.
61624,Big Stan Productions
47723,Breakout
10005,Balthazar Productions
15702,Broadway Theatre Archive
74901,Taxi Films
11408,Ministerio de Cultura
65217,Zee Music Company
38024,Entertainment Factory
22031,Televisión Abierta
14151,Group Film Productions Limited
23886,Villani Rockhill Productions
73872,G.T. Film Production
1191,Haxan Entertainment
62198,Sonar Entertainment (II)
3530,Triangle Staff
2198,Pupkin Film
3809,Gibraltar Productions
23501,Fine Productions
14494,Perseus Productions
31375,Evergreen Media Group
3012,Pathé Distribution
17219,S.F.P.C.
85049,SpotFilms
113,AB Svenska Ord
15100,Quest
56271,Iz Sobraniya Gosteleradio
78496,Tigerlily Films
70449,Première Heure
23118,Leader Cinematografica
12364,Deutsche Film (DEFA)
52949,Coconut Pete Productions
29099,Stage 6 Films
810,Persistent Entertainment
22194,Fladen Filmrights
78037,Love Finds You Productions
1899,Radio Teléfis Éireann
6785,Heliopolis
28013,Film Unlimited
10128,Think Studio
1979,Cinevox Filmproduktion GmbH
59566,Skyhook Productions
52896,Choke Film
11924,Casa Kafka Pictures
83384,Paprika Production
44227,IN Entertainment
48699,Lockheed Martin Corporation
40980,HBO NYC Productions
5901,Atlantik Film
22110,First Foot Films
42786,Hypotenuse Films
66650,D'Antoni/Weitz Productions
88138,Bright Eye Pictures
22050,Shadow Lane
29491,Harrington Talents
18970,Avalon Productions
2363,Cold Spring Pictures
10740,Producers Representative Organization
7505,Marvel Entertainment
2993,Bright-Persky Associates
85573,Agosto la Película
95801,Let it Snow Productions
495,EDI
19234,Crystalcreek Ltd.
18866,Red Line Films
78489,movistar+
6857,Steam Motion & Sound
68026,Studio Filmowe Oko
19097,Junction Entertainment
20041,Theatrofilm
68624,KSM
11248,Programme MEDIA de la Communauté Européenne
22606,Pacific Films
13746,GBM Productions
2486,Iéna Productions
16610,Distant Dreams Filmproduktion
79171,RGV Film Factory
76923,Avventurosa
23820,Visto International Inc.
86625,Sateenkaarifilmi Oy
7575,Palladium
27357,Flat Black Films
71171,The Shuman Company
92137,Dead Fiancée Productions
14111,Furie Productions
2541,d.i.e.film
13339,Platforma Filma
73674,Jed Buell Productions
14403,Connaught Productions
45955,David Paradine Productions
38367,Brigadier Pictures
14197,British National Films
7580,Kanbar Entertainment
42243,"Zespol Filmowy ""Kamera"""
22512,Arlington Road Productions Corporation
18339,E-K-Corporation
80996,WRA Productions
28955,Roser Film
208,Bac Films
27196,Ciné B
68053,Nisarga
80711,3ality Digital Entertainment
48430,Monoo
23163,Omnibus-Biography Productions
19729,Zion Meyers Productions
23587,Screenland Pictures
69903,Colour Yellow Pictures
78370,La Canica Films
25927,FTG Media
16414,The Cannon Group
80604,Green Door Pictures
14734,Oren Peli / Brian Witten Pictures
32877,Shoestring Pictures
3639,Whamaphram Productions
12176,Little Gaddesden Productions
93815,Hummel & Nimbus AS
31183,BBC Two
81138,Studiopolis
6161,Victor Solnicki Productions
87875,Music On!
2419,Katzka-Berne Productions
7013,Hunnia Filmstúdió
80927,HC Films
61623,Chicago Entertainment Partners
19020,Ecole Nationale Supérieure des Arts Décoratifs
83452,Jaffe / Braunstein Entertainment
65585,Marcel/Robertson Productions Limited
29133,Bremedia Produktion
10602,Pacific Productions
3855,New Upstairs Productions
73634,Silver Screen
2117,D.R.M. Productions
58331,Franklin/Waterman Productions
6348,Be-Wild
22224,Epica Ltd.
1001,Solaris Film
55284,Tantan Films
8943,Graal
27404,Supinfocom Arles
22321,Transmar Films
78476,REDLABdigital
12095,Save Ferris Entertainment
79438,Ossane
8102,Working Title Television
73695,Kinos Seqtsia
12365,Brownstone Productions
34846,Tee Rob Pictures
19960,Great Wight Productions/ Osford Films
1876,RM Films International
84751,Endemol Shine Studios
750,Ellepi Films
19643,"Sommers Company, The"
2090,Motion Picture Corporation of America
2235,Desertlands Entertainment
37299,Excalibur Pictures
45138,Cagney-Montgomery Productions
8981,Conquering Lion Pictures
1768,Europa Films
84374,"EagleVision, Inc."
19264,Conseil Général de l'Aveyron
85739,Foundation Montecinema Verità
63095,Studio Rock
80485,Lone Wolf
26281,Ardustry Entertainment
3036,Walt Disney Studios Motion Pictures
54634,Mosaic
59359,ZDF / 3sat
1842,Sahara One Motion Pictures
8425,Marvin Schwartz Productions
89362,The Grade Company
2778,City Lights Pictures
15176,Robert M. Weitman Productions
8153,The
83441,Fuzzy Bunny Productions
56343,Ace Film Company
71072,X-Ray Films
7643,France Télévision Images 2
52011,The Wild Party Production Company
15184,Overdose Joint
76002,General Pictures
63751,Sidéral Productions
53696,The Where's Poppa Company
84232,Neutrinos Productions
39617,Royal
